"Date","Queries"
2018-11-15,6
2018-10-14,31316
2019-02-20,8
2019-02-23,3
2018-11-12,1
2018-12-18,1
2018-11-13,4
2018-10-15,12291
2018-12-03,2
2019-03-23,1
2019-01-14,2
2018-12-23,2
2018-10-12,3180
2019-02-21,1
2019-03-15,1
2018-08-26,5
2018-11-19,9
2018-08-24,5
2018-09-07,1
2019-03-08,2
2018-10-13,118841
2019-02-24,1
2019-02-08,4
2019-03-29,24056
2018-11-11,3
2018-08-19,1
2018-08-22,3
2018-08-28,1
2019-01-06,2
2018-12-27,4
2018-09-05,1
2019-01-16,6
2019-02-25,1
2018-11-09,3
2019-01-17,2
2019-02-27,3
2019-03-25,4
2018-09-25,2
2018-11-07,3
2018-12-17,3
2018-08-08,5
2019-02-19,4
2019-03-02,2
2018-09-01,1
2018-09-19,3
2018-11-17,1
2019-04-01,23789
2018-11-05,2
2019-02-10,4
2019-03-26,13307
2018-08-09,2
2018-08-18,3
2018-11-03,1
2019-02-17,2
2018-10-18,3
2019-03-03,1
2019-03-07,2
2019-03-30,23473
2018-08-11,2
2018-08-04,3
2018-08-16,2
2019-01-15,2
2018-11-25,2
2019-01-02,1
2018-08-14,2
2018-11-01,1
2018-12-15,3
2018-09-27,7
2019-03-05,3
2019-03-28,24766
2019-02-09,2
2019-01-25,4
2018-12-11,5
2018-10-08,1
2018-12-21,10
2018-10-09,2
2019-02-06,4
2019-02-15,2
2019-02-07,5
2018-10-30,8
2018-09-13,5
2018-10-26,5
2019-03-27,27190
2018-08-10,3
2019-02-11,4
2019-03-24,2
2018-12-25,2
2018-10-10,4
2019-03-22,1
2018-11-08,1
2019-02-01,2
2019-02-28,2
2018-11-23,2
2018-10-24,2
2018-09-23,1
2018-10-28,2
2018-11-06,1
2018-10-07,4
2018-09-21,3
2019-01-10,2
2018-08-15,1
2019-02-16,2
2018-12-19,2
2019-03-19,3
2018-09-15,2
2019-03-31,23144
2018-10-05,2
2019-02-05,3
2019-02-14,2
2018-08-13,1
2019-01-28,3
2018-10-03,10
2018-10-20,1
2018-11-29,2
2018-10-22,2
2019-03-14,3
2019-01-24,5
2018-09-11,2
2019-03-12,3
2018-08-07,1
2018-09-09,1
2018-09-03,1
2018-11-21,1
2019-02-02,2
2018-12-31,2
2018-09-10,1
2018-10-04,2
2018-10-21,1
2019-03-17,2
2018-12-29,2
2018-08-12,1
2018-10-19,1
2019-01-20,1
2018-09-29,2
