date,AS7922,AS2119,AS8767,AS37100,AS15169,AS16276,AS13335,AS6830
2018-07-19,0,0,18,0,10,0,7,11
2018-07-20,0,0,18,0,5,0,7,11
2018-07-21,0,0,18,0,27,0,8,11
2018-07-22,0,0,18,0,12,0,8,10
2018-07-23,0,0,17,0,16,0,5,10
2018-07-24,0,0,18,0,8,0,10,9
2018-07-25,0,0,17,0,6,0,15,9
2018-07-26,0,0,17,0,7,0,10,9
2018-07-27,0,0,17,0,6,0,10,9
2018-07-28,0,0,18,0,6,0,10,11
2018-07-29,0,0,15,0,21,0,10,9
2018-07-30,27,0,18,0,18,0,20,9
2018-07-31,24,0,19,0,12,0,20,18
2018-08-01,33,0,18,0,7,0,25,18
2018-08-02,30,0,19,0,18,27,18,9
2018-08-03,27,0,18,0,12,27,20,9
2018-08-04,36,0,19,0,36,26,12,9
2018-08-05,33,0,19,0,12,26,25,11
2018-08-06,39,0,18,0,8,26,12,9
2018-08-07,45,0,19,0,28,26,28,9
2018-08-08,39,0,19,0,20,26,12,9
2018-08-09,42,0,18,0,8,27,12,9
2018-08-10,42,0,18,0,8,26,12,14
2018-08-11,39,0,18,0,21,26,18,21
2018-08-12,40,0,18,0,30,26,30,8
2018-08-13,32,0,18,0,24,27,24,16
2018-08-14,28,0,16,0,7,26,30,8
2018-08-15,20,0,16,0,20,26,18,14
2018-08-16,10,0,16,0,14,26,11,15
2018-08-17,20,0,17,0,15,26,20,19
2018-08-18,20,0,17,0,30,26,20,30
2018-08-19,10,0,18,0,18,26,11,14
2018-08-20,20,0,17,0,20,26,36,36
2018-08-21,10,0,17,0,18,27,11,24
2018-08-22,11,0,16,0,18,26,24,13
2018-08-23,10,60,16,0,17,28,36,36
2018-08-24,20,18,17,0,20,28,13,24
2018-08-25,10,16,30,0,30,28,11,24
2018-08-26,20,7,16,0,19,28,20,14
2018-08-27,20,7,18,0,16,28,20,14
2018-08-28,10,8,19,0,13,29,11,15
2018-08-29,20,36,18,0,30,29,20,30
2018-08-30,8,45,17,0,20,28,15,20
2018-08-31,10,7,18,0,13,28,11,17
2018-09-01,20,30,18,0,13,28,20,17
2018-09-02,10,7,38,38,18,28,24,15
2018-09-03,10,18,18,24,14,28,11,17
2018-09-04,20,20,18,24,24,28,11,17
2018-09-05,11,10,19,23,13,28,14,18
2018-09-06,22,22,18,23,13,29,14,17
2018-09-07,13,9,18,24,11,29,14,17
2018-09-08,13,9,32,24,8,28,32,17
2018-09-09,13,20,17,22,20,28,14,18
2018-09-10,26,8,17,23,7,28,26,18
