"Date","Queries"
2018-08-01,11119241
2018-08-02,11884999
2018-08-03,12097122
2018-08-04,11634573
2018-08-05,11210778
2018-08-06,11333849
2018-08-07,11431652
2018-08-08,11495003
2018-08-09,11622863
2018-08-10,11483059
2018-08-11,11450882
2018-08-12,11123464
2018-08-13,11573916
2018-08-14,11751849
2018-08-15,11196701
2018-08-16,11283147
2018-08-17,11646219
2018-08-18,11219492
2018-08-19,11230920
2018-08-20,11805453
2018-08-21,12065074
2018-08-22,12693364
2018-08-23,12095267
2018-08-24,12392337
2018-08-25,12335693
2018-08-26,11920605
2018-08-27,12371875
2018-08-28,12743696
2018-08-29,14035041
2018-08-30,14769181
2018-08-31,14724731
2018-09-01,14634482
2018-09-02,14334391
2018-09-03,15030193
2018-09-04,14572503
2018-09-05,14677079
2018-09-06,14385712
2018-09-07,14469717
2018-09-08,14639535
2018-09-09,14180071
2018-09-10,14905575
2018-09-11,14750600
2018-09-12,14816033
2018-09-13,14766146
2018-09-14,14559084
2018-09-15,14268640
2018-09-16,14504415
2018-09-17,14770788
2018-09-18,14627713
2018-09-19,15326637
2018-09-20,16471175
2018-09-21,16157702
2018-09-22,16244273
2018-09-23,15968789
2018-09-24,16498531
2018-09-25,16364793
2018-09-26,16303451
2018-09-27,16752377
2018-09-28,16753833
2018-09-29,16675184
2018-09-30,16397436
2018-10-01,16820600
2018-10-02,17157189
2018-10-03,16967287
2018-10-04,16784237
2018-10-05,16522347
2018-10-06,15676710
2018-10-07,15840987
2018-10-08,16463340
2018-10-09,16395379
2018-10-10,16223920
2018-10-11,18243312
2018-10-12,34765538
2018-10-13,48069188
2018-10-14,65482139
2018-10-15,81299262
2018-10-16,75224179
2018-10-17,69306535
2018-10-18,71664184
2018-10-19,67693014
2018-10-20,64962971
2018-10-21,70913886
2018-10-22,77799765
2018-10-23,74601697
2018-10-24,74876425
2018-10-25,76081850
2018-10-26,73253116
2018-10-27,73374937
2018-10-28,78440381
2018-10-29,77804064
2018-10-30,78098206
2018-10-31,74289221
2018-11-01,77946383
2018-11-02,72541680
2018-11-03,74301818
2018-11-04,75580924
2018-11-05,78472402
2018-11-06,75768203
2018-11-07,75963712
2018-11-08,74661237
2018-11-09,72854255
2018-11-10,73095342
2018-11-11,73350454
2018-11-12,72691089
2018-11-13,77723062
2018-11-14,74457677
2018-11-15,76166969
2018-11-16,75561515
2018-11-17,74666508
2018-11-18,76852759
2018-11-19,76100768
2018-11-20,73408527
2018-11-21,77878606
2018-11-22,76937673
2018-11-23,76496487
2018-11-24,73199605
2018-11-25,76201266
2018-11-26,79943832
2018-11-27,77440494
2018-11-28,72839046
2018-11-29,74957706
2018-11-30,74461702
2018-12-01,74906610
2018-12-02,74518925
2018-12-03,75146459
2018-12-04,72913176
2018-12-05,74071042
2018-12-06,73730380
2018-12-07,73864562
2018-12-08,73637313
2018-12-09,76919596
2018-12-10,74993662
2018-12-11,73532621
2018-12-12,75598832
2018-12-13,73139747
2018-12-14,73193402
2018-12-15,72463976
2018-12-16,73619720
2018-12-17,74450897
2018-12-18,76046252
2018-12-19,73825357
2018-12-20,75394055
2018-12-21,76947739
2018-12-22,76071026
2018-12-23,77187376
2018-12-24,78990604
2018-12-25,78436407
2018-12-26,77758888
2018-12-27,73826730
2018-12-28,73387918
2018-12-29,76045730
2018-12-30,78073014
2018-12-31,79092202
2019-01-01,78058114
2019-01-02,80174954
2019-01-03,79627361
2019-01-04,79524170
2019-01-05,78179691
2019-01-06,78218664
2019-01-07,79596617
2019-01-08,77712493
2019-01-09,79045314
2019-01-10,78758286
2019-01-11,85990842
2019-01-12,238361751
2019-01-13,275897771
2019-01-14,286874014
2019-01-15,278384457
2019-01-16,306354082
2019-01-17,321609787
2019-01-18,325210418
2019-01-19,326458398
2019-01-20,330441791
2019-01-21,329408263
2019-01-22,328205076
2019-01-23,339696518
2019-01-24,350996738
2019-01-25,375645894
2019-01-26,392930178
2019-01-27,392050624
2019-01-28,371663841
2019-01-29,370078919
2019-01-30,380222533
2019-01-31,382638018
2019-02-01,381651488
2019-02-02,380673394
2019-02-03,367423309
2019-02-04,358422669
2019-02-05,365347705
2019-02-06,368066685
2019-02-07,382614883
2019-02-08,393725102
2019-02-09,401594040
2019-02-10,400965159
2019-02-11,399871728
2019-02-12,404563434
2019-02-13,427611783
2019-02-14,453536754
2019-02-15,474127646
2019-02-16,488071821
2019-02-17,490633428
2019-02-18,482263211
2019-02-19,533531528
2019-02-20,545981665
2019-02-21,565201355
2019-02-22,580756222
2019-02-23,615221288
2019-02-24,624788568
2019-02-25,628962113
2019-02-26,644775230
2019-02-27,778384942
2019-02-28,992332629
2019-03-01,1057852749
2019-03-02,1035148308
2019-03-03,1063191506
2019-03-04,1065345486
2019-03-05,1072262431
2019-03-06,1076372657
2019-03-07,1086149809
2019-03-08,1099452420
2019-03-09,1067489190
2019-03-10,1092007476
2019-03-11,1150340274
2019-03-12,1121827826
2019-03-13,1138370121
2019-03-14,1154956571
2019-03-15,1165502360
2019-03-16,1141916644
2019-03-17,1177404271
2019-03-18,1173180726
2019-03-19,1149958010
2019-03-20,1158024604
2019-03-21,1169082592
2019-03-22,731489222
2019-03-23,32963070
2019-03-24,45932456
2019-03-25,48604992
2019-03-26,55358487
2019-03-27,57703767
2019-03-28,58183734
2019-03-29,58226441
2019-03-30,58144640
2019-03-31,62512109
2019-04-01,64054014
