date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,1294327825,3202670632,117002,0,580459,174328938,1596,3943886
2017-01-02,1455636983,3392514957,83844,0,665184,178779887,1735,3950273
2017-01-03,1514466851,3588680564,85361,0,988073,185497538,1642,3947481
2017-01-04,1540814648,3502109035,81023,0,1033862,180793039,2055,3875800
2017-01-05,1509929158,3536257207,81186,0,734498,189024608,1451,3806919
2017-01-06,1892543314,4236228166,125232,0,5282072,213592631,1523,3801316
2017-01-07,1321212024,3322871394,121888,0,942697,175640270,1408,3886394
2017-01-08,1299619964,3369621150,24643828,72049962,823929,154906874,1333,3876453
2017-01-09,2917932321,6403298308,131240,0,11414265,268279546,1737,3865995
2017-01-10,3004810875,6503658245,155282,12,14897707,243786548,1538,3811219
2017-01-11,1507888447,3843749856,285148,0,1828946,138187485,1502,3779428
2017-01-12,1444067612,3774686398,166047,0,926209,102887572,1888,3722616
2017-01-13,1485267064,3691322034,135741,0,784207,127131682,2247,3743936
2017-01-14,1265761259,3169895658,123101,0,889230,134962868,1689,3813780
2017-01-15,1306315778,3063703067,83246887,346652604,782990,134532826,2602,3842526
2017-01-16,1413041082,3546775129,181822,0,924468,138920336,1538,3847256
2017-01-17,1432135532,3637174817,140349,0,772535,148329046,1683,3876006
2017-01-18,1459408169,3656912342,149909,0,624224,153323384,1603,3819338
2017-01-19,1486835486,3673950607,145868,0,787213,152372209,1449,3846080
2017-01-20,1477222016,3567990783,118762,0,1197263,152218145,1389,3836536
2017-01-21,1309993713,3224248585,139626,0,866571,149641548,1530,3842934
2017-01-22,1315638410,3306546084,137794,0,893780,146471277,1631,3859483
2017-01-23,1433317764,3774561248,132402,0,754338,152003607,1610,3857714
2017-01-24,1480830558,3702176991,139848,0,719845,141336289,1703,3766687
2017-01-25,1473848017,3586258721,173283,0,747926,144629403,1867,3566426
2017-01-26,1475750239,3679900671,153266,0,1343810,143350906,1433,3616449
2017-01-27,1343877325,3338686320,146952,0,646568,149543937,1856,3567877
