date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,671621789,1789732190,0,0,782154,63473461,6237,7866
2017-01-02,715871686,1853775865,0,0,942407,64720069,6277,7315
2017-01-03,788817902,1950039175,0,0,974203,72594952,6416,5063
2017-01-04,808447752,1969547697,0,0,996623,66519546,7358,953
2017-01-05,812240737,1957968501,0,0,981461,65690557,5979,1343
2017-01-06,949743274,2191195953,0,0,16838267,91262073,5380,1657
2017-01-07,666801952,1835248041,0,0,840606,58082222,8570,13483
2017-01-08,696389380,1823895256,0,0,966384,56089353,6732,14523
2017-01-09,1344146861,2677660058,0,0,30112608,151209323,11647,12013
2017-01-10,1427006949,2793608227,0,0,81780743,157261242,10524,6543
2017-01-11,806400371,2066244727,0,0,1102815,67666361,13337,1837
2017-01-12,803892075,2106748708,0,0,1176144,65628339,13982,2501
2017-01-13,793135785,2108452456,0,0,1054385,64528545,12252,5166
2017-01-14,656369406,1844605485,0,0,910110,57748810,7521,4977
2017-01-15,654861118,1825715270,0,0,946690,59339810,8028,10990
2017-01-16,728143751,2038813334,0,0,898934,62973819,10322,11822
2017-01-17,750542709,2078139100,0,0,584541,62806747,11791,12263
2017-01-18,726215264,2079342809,0,0,1288773,63457873,13415,7204
2017-01-19,750822129,2152252815,0,0,1161713,68166497,9718,11854
2017-01-20,744134849,2027722961,0,0,1170473,68597617,6420,7362
2017-01-21,670976464,1934213636,0,0,1272846,59573155,6628,11185
2017-01-22,646695520,1920547794,0,0,1199109,59116887,6411,15554
2017-01-23,731652516,2027334635,0,0,1060986,64826859,6270,12129
2017-01-24,735616316,2063219323,0,0,1027834,66580378,7246,5297
2017-01-25,692465660,1997134029,0,0,770844,67734880,6808,6885
2017-01-26,707540040,2008287151,0,0,1148060,68980885,6408,21048
2017-01-27,684995322,1998043990,0,0,791087,66641010,7123,12005
2017-01-28,589629681,1809209224,0,1,2614868,58088622,6687,6436
2017-01-29,632605962,1909925617,0,0,3968758,58424584,5911,3041
2017-01-30,747041586,2014730184,0,0,4260310,62931872,6064,2356
2017-01-31,752253454,1984309250,0,0,3840850,67195234,6326,2695
2017-02-01,720458886,2009902688,0,0,4293941,66762597,6522,20530
2017-02-02,721616398,1991310563,0,0,4720822,66855520,5559,18407
2017-02-03,736765099,1975472177,0,0,3109396,65122453,5924,1705
2017-02-04,693542772,1988849454,0,0,3536863,59939161,5533,1184
2017-02-05,695664577,1930024523,0,0,4870112,59759877,5587,1143
2017-02-06,747807023,1979703261,0,0,5843288,66790895,5536,7882
2017-02-07,758441723,2005026828,0,0,5258295,68186487,5678,13709
2017-02-08,766515032,2067108677,0,8,1554960,70350390,6442,17034
2017-02-09,715963171,2091336034,0,0,1640517,71139444,5420,16495
2017-02-10,762789794,2180008647,0,0,1635751,71267776,6204,15069
2017-02-11,657206622,1948461240,0,0,1807815,62329821,5665,7175
2017-02-12,658522260,1916347323,0,0,1825417,62361093,9120,1419
2017-02-13,721310452,2080110185,0,0,1548370,67670790,25318,2679
2017-02-14,726911783,2102647984,0,0,1449536,69376604,6435,5319
2017-02-15,727408102,2118425607,0,0,1540232,66958572,6737,7423
2017-02-16,739768686,2139075103,0,0,1383035,76042329,6671,8895
2017-02-17,688046605,2092100995,0,144,1436512,70449890,6625,7675
2017-02-18,651596220,1933008702,0,56,1459491,62897007,6399,7596
2017-02-19,631976459,1863365814,0,59,1225098,60445661,6048,7383
2017-02-20,759665100,2133495104,0,135,5819844,73990352,8292,8218
2017-02-21,1167989945,2580802567,0,0,38167417,144937011,7722,6777
2017-02-22,772118109,2172870364,0,0,1718828,71018463,6034,9127
2017-02-23,760176742,2127112124,0,0,1260760,69479946,5851,15034
2017-02-24,749647227,2091746822,0,0,1194817,69469533,5929,10675
2017-02-25,657725841,1955983162,0,0,1045286,66496429,5752,19481
2017-02-26,689910122,2038830095,0,0,1006284,66950751,6090,19791
2017-02-27,749152220,2104710425,0,0,952658,73799742,6694,19411
2017-02-28,791088356,2151812187,0,0,2037715,75269846,6593,19089
2017-03-01,750331000,2105440903,0,0,867323,74715747,5967,19145
2017-03-02,746586183,2107728624,0,0,824149,68779347,5740,9566
