date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,1312329611,3320048773,120178,0,2062919,66171654,776,17822
2017-01-02,1394064767,3461213343,121543,0,2597234,65256797,591,17339
2017-01-03,1441981764,3609899223,121873,0,2833019,70984855,584,14453
2017-01-04,1316196638,3276697514,119197,0,1844690,66401172,606,6567
2017-01-05,1449296707,3583786300,119775,0,1932796,66380999,663,8810
2017-01-06,1657319992,3854405557,120806,0,9819698,72821877,608,10711
2017-01-07,1303721524,3322070511,127150,0,1884836,59657261,1853,15957
2017-01-08,1310764159,3297249288,122457,0,2940277,59354856,1887,14917
2017-01-09,2256330756,4752948191,132528,0,19685964,93035903,1397,14622
2017-01-10,2312322570,4834084973,126625,0,42062616,102737152,1349,12569
2017-01-11,1500628934,3803488544,153377,0,3875980,77063667,760,9595
2017-01-12,1512651256,3860298346,156682,0,3528526,78582441,886,10845
2017-01-13,1478765649,3808098662,142622,0,3220010,72559367,1145,13437
2017-01-14,1334824128,3461414008,137352,0,2790686,68489859,1231,12946
2017-01-15,1304913283,3410154441,141307,0,3191205,68852285,1989,16241
2017-01-16,1460996452,3706922289,154987,0,3230831,71390881,2182,19524
2017-01-17,1493115699,3788744472,141770,0,3314232,74625148,2080,21336
2017-01-18,1488664581,3861999104,159128,0,2718203,76586629,1288,15739
2017-01-19,1483057791,3882157731,144794,0,3171780,81157222,2549,20972
2017-01-20,1474251008,3749149010,134622,0,2808058,81869417,1435,19611
2017-01-21,1323391573,3473238676,135921,0,2685531,71573968,2182,17702
2017-01-22,1341265944,3468752282,126822,0,2594285,68498138,3022,21322
2017-01-23,1483190109,3770534142,124095,0,3050016,77348387,1404,22611
2017-01-24,1475805853,3755294389,129604,0,3667651,79453330,1158,20131
2017-01-25,1449451900,3740053453,125866,0,3890588,80003308,1179,21721
2017-01-26,1471609545,3772927735,125474,0,4827409,80829802,1612,27133
2017-01-27,1416850120,3699401836,125441,0,3693785,86714515,1112,20844
2017-01-28,1288919207,3372322113,126291,0,3413039,75993971,1089,15930
2017-01-29,1336134981,3452327844,121637,0,3313391,73376991,1057,11388
2017-01-30,1455240018,3702458144,125776,0,3508951,73864413,901,11530
2017-01-31,1467193522,3740305235,126843,0,3582263,83765906,1241,14932
2017-02-01,1449974428,3759158106,127427,0,3481733,81833280,2370,17490
2017-02-02,1477089525,3776743869,125223,0,4150498,79194867,2356,16074
2017-02-03,1442123800,3732115272,126046,0,3471817,80131200,779,9937
2017-02-04,1376870618,3650721900,124627,0,3213313,69179614,808,9017
2017-02-05,1364927310,3535929811,125193,0,2762690,66468821,700,9110
2017-02-06,1465819715,3752453780,126388,0,3167016,77005348,676,16069
2017-02-07,1443447420,3850244857,129545,0,3035820,81486018,744,27548
2017-02-08,1449156599,3858920529,126221,0,3613140,81588165,674,27193
2017-02-09,1421810037,3952051355,124462,0,4113828,85064577,792,27098
2017-02-10,1337255611,3887392230,124003,0,2737572,80563898,691,25888
