date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,888749149,3411964904,150536,0,107805,66631071,1009,12544
2017-01-02,951584931,3552160623,128427,0,135846,71076047,801,11278
2017-01-03,1015956587,3708014355,127227,0,148038,79520268,927,9399
2017-01-04,1036040748,3800857120,123655,0,153620,73764537,1041,3826
2017-01-05,1022992098,3799711119,120222,0,158391,73774282,839,5807
2017-01-06,1285580788,4467405206,122627,0,625541,93878767,912,8675
2017-01-07,932101728,3650103805,128777,0,244089,70197738,713,87632
2017-01-08,924195417,3589413993,121376,0,225330,70339608,622,78905
2017-01-09,2161052885,6063444257,141364,0,1665837,132728625,1380,67115
2017-01-10,2100932680,6020582747,133902,0,1371670,148313783,1320,35695
2017-01-11,1050300142,3944095843,164604,0,279692,88684326,1011,6934
2017-01-12,1044068138,3831712600,172379,0,261698,93420748,1151,6821
2017-01-13,1018614659,3804075487,145098,0,174138,86629797,1184,13654
2017-01-14,918815729,3465576634,142213,0,173570,78807602,1169,15184
2017-01-15,936080723,3417598706,150571,0,158121,77249007,1277,42488
2017-01-16,998282077,3668305656,165951,0,206244,81582323,1008,57635
2017-01-17,1005688845,3785510989,145869,0,202915,78580150,1078,62815
2017-01-18,1006263680,3769313915,153923,0,159082,77914049,980,19731
2017-01-19,1009353281,3890490952,149404,0,156861,78768292,720,43028
2017-01-20,991483212,3729010030,137492,0,255779,79922390,647,38847
2017-01-21,888078476,3535765642,148273,0,289089,72459585,654,55181
2017-01-22,912233028,3576834168,145429,0,195390,72048376,803,82137
2017-01-23,961468694,3816467446,144969,0,164152,77040002,1061,78593
2017-01-24,970614885,3769149117,158311,0,152545,76600353,1097,53040
2017-01-25,972186109,3702321286,158177,0,149331,77258420,1102,58701
2017-01-26,1000305435,3756591249,150984,0,173731,77524299,1153,89435
2017-01-27,1173454849,3662272580,150651,0,132968,75339397,1075,39799
2017-01-28,886859505,3429538579,198835,0,120381,68977890,1102,33800
