date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,667140170,1537390512,58172,21,12153509,256048883,1160,8
2017-01-02,693791434,1566320059,58981,27,13580661,251370927,1026,12
2017-01-03,712775557,1585759747,56097,14,12823487,258044228,1077,14
2017-01-04,723423281,1609392783,56244,24,13595633,256761890,1133,10
2017-01-05,724652577,1587044364,54343,21,11780203,253757009,831,9
2017-01-06,857576050,1649397974,55541,33,24674989,300637571,925,10
2017-01-07,727887127,1556832604,63471,252,12408095,263135522,1019,10
2017-01-08,737591626,1548505259,60820,244,12197793,267814226,985,9
2017-01-09,1165848736,1856881273,62993,231,43975384,407252812,1136,8
2017-01-10,1256464056,1910931037,59188,221,77745649,427274567,1460,7
2017-01-11,797241697,1789338394,69347,4,13968293,280594164,1648,26
2017-01-12,782450921,1837413575,67798,9,12541159,281765411,2618,25
2017-01-13,787464859,1757566566,69714,5,12766583,279402913,1714,6
2017-01-14,686427379,1563294652,63661,6,11999672,268947037,1256,19
2017-01-15,678812157,1555133995,63751,6,11637673,264478090,1160,9
2017-01-16,733414630,1666370521,68405,8,12061041,264161982,1295,24
2017-01-17,763333290,1732198933,67977,2,12427267,270085237,1059,20
2017-01-18,752895425,1773423851,69508,6,13192955,263601751,1509,40
2017-01-19,787564885,1838856320,63716,7,12326197,272992939,1065,10
2017-01-20,770503786,1729081382,62015,2,11953263,270464508,1001,21
2017-01-21,709618083,1616672800,61839,6,9843182,260174475,1261,11
2017-01-22,723199886,1603617876,61824,5,9661962,269020806,1049,25
2017-01-23,774161617,1743806008,59317,3,10605663,272288141,946,20
2017-01-24,763704726,1740591881,65594,4,10670589,271112049,956,27
2017-01-25,745520005,1749099058,64121,19,10792287,272080633,1082,12
2017-01-26,750375891,1749539014,60463,16,11515826,277996292,1475,8
2017-01-27,700427112,1715704777,61010,20,10933373,262794308,1004,8
2017-01-28,643766373,1640304683,60737,18,11083643,250018576,1236,9
2017-01-29,700416198,1686956984,58352,14,11014345,266754582,1015,26
2017-01-30,735545860,1727408974,59856,25,11707371,256945632,955,8
2017-01-31,749427512,1731143731,60760,10,10964200,253316176,923,9
