date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,745248294,1686196118,9112,0,3878,4576496,22,282
2017-01-02,775695012,1765883618,9961,0,4070,4261796,27,74
2017-01-03,825605244,1791457908,9792,0,9899,4518730,40,132
2017-01-04,818380218,1819334983,10830,0,4473,4021414,18,69
2017-01-05,796763073,1807892135,10393,0,3946,3943966,23,195
2017-01-06,814620459,1828077379,8976,0,29152,4322150,27,295
2017-01-07,720008777,1699779701,57557,353,4548,3489623,28,615
2017-01-08,712744119,1701926833,11647,0,4169,3365922,28,660
2017-01-09,803542538,1750455551,20173,0,146231,4115784,24,384
2017-01-10,840091887,1814439231,10529,0,141576,3946876,26,344
2017-01-11,807591690,1863863098,23921,0,6453,4960444,18,86
2017-01-12,808292872,1906782572,21531,0,4958,4728308,25,65
2017-01-13,797854777,1886275220,15784,0,3695,4510915,15,82
2017-01-14,739709273,1742535890,14723,0,3740,4306598,22,105
2017-01-15,791401175,1685230565,14671,0,3516,4358913,20,321
2017-01-16,799637471,1829497144,19223,0,4402,4789482,29,270
2017-01-17,815246296,1826348502,20942,0,3844,4956344,31,290
2017-01-18,824616653,1849972941,21946,0,3601,4856232,29,111
2017-01-19,817721927,1863473113,15408,0,3985,4261658,32,128
2017-01-20,814811162,1763852715,12706,0,5373,5375815,18,202
2017-01-21,756498630,1700169580,12345,0,4116,3884137,21,315
2017-01-22,764724354,1710100972,12540,0,3873,4253903,32,380
2017-01-23,787841985,1819178296,12335,0,3745,5002490,29,366
2017-01-24,800876144,1829542382,13381,0,3494,3852405,26,205
2017-01-25,838988286,1806492905,13515,0,3448,4104142,24,832
2017-01-26,848215437,1830265748,12713,0,7671,4199402,29,1968
2017-01-27,825115022,1777169268,13240,0,20292,3555350,26,502
2017-01-28,743052554,1696515399,13249,0,3551,3481394,14,351
2017-01-29,748184856,1761038036,10909,0,2943,3496657,16,138
2017-01-30,797914894,1792836796,12518,0,3016,4042280,19,69
2017-01-31,854908631,1768152416,13766,0,2906,4897048,23,185
2017-02-01,454063080,1010820763,8054,0,2484,2743075,18,107
2017-02-02,0,0,0,0,0,0,0,0
2017-02-03,6378906,12678345,84,0,21,38603,0,0
2017-02-04,336243815,825858774,5073,0,1465,1655576,1,0
2017-02-05,346355476,832274439,5639,0,1867,1980233,1,0
2017-02-06,591740048,1375992513,9178,0,2583,3582678,39,0
2017-02-07,727845702,1850118722,12359,0,3342,4724110,90,0
2017-02-08,711955626,1816101958,12680,0,3726,4862857,107,0
2017-02-09,715596298,1902458316,11736,0,3410,5161290,110,0
2017-02-10,699993883,1944320411,11808,0,3494,4830715,86,0
2017-02-11,681655051,1713803679,10813,0,3359,4377785,3,0
2017-02-12,690950805,1703189041,15010,0,3204,4659922,5,0
2017-02-13,725476322,1786654876,38746,0,3533,4981904,5,0
2017-02-14,739697628,1838324400,13042,0,3492,4356153,15,0
2017-02-15,714226434,1835051463,12105,0,3456,4083280,52,0
2017-02-16,705906593,1917783517,12326,0,3171,4229634,48,0
2017-02-17,704870892,1861945216,13804,0,3806,4062437,44,0
2017-02-18,678471773,1744460725,12024,0,3599,3800771,34,0
2017-02-19,674613013,1705131093,11404,0,3830,4132996,33,0
2017-02-20,758643848,1887655387,14913,0,6776,4501878,52,0
2017-02-21,865262659,2036276837,13743,0,211764,4533169,91,0
2017-02-22,739247773,1875355772,12350,0,4905,4553122,41,0
2017-02-23,753531707,1872748155,12067,0,3798,4161738,62,0
2017-02-24,732690886,1840083358,12291,0,3816,4150707,39,0
2017-02-25,726803227,1730762812,11677,0,3281,3599246,58,0
2017-02-26,754733524,1779577278,11869,0,3417,3353421,67,0
2017-02-27,732334684,1848138637,12309,0,4440,4027430,78,0
2017-02-28,729979241,1856539332,13027,0,7799,4250237,99,0
2017-03-01,719176908,1879973770,12947,0,5272,4415426,77,0
2017-03-02,691146039,1879303916,12467,0,4608,3972737,68,0
2017-03-03,686369922,1879549776,13228,0,4969,3865532,48,0
2017-03-04,649940125,1731878649,11557,0,4235,3729091,35,0
2017-03-05,667528120,1695125037,12360,0,4806,4014099,43,0
2017-03-06,1024312125,2110183490,15193,0,144514,4815410,186,0
2017-03-07,701129396,1885086831,12514,0,5178,4924930,58,0
2017-03-08,711054304,1955832704,13672,0,5351,4811973,69,0
2017-03-09,725651977,1850185365,13965,0,5266,5231835,89,0
2017-03-10,718708970,1860365596,12765,0,6322,5002927,119,0
2017-03-11,653447788,1820903630,13285,0,5285,3917155,62,0
2017-03-12,662132556,1787099779,14920,0,5106,3723347,54,0
2017-03-13,709686823,1831913815,13758,0,5102,4140060,74,0
2017-03-14,726646712,1903858657,15888,0,5465,4437386,78,0
2017-03-15,705279682,1834848208,15005,0,5029,4104163,67,0
2017-03-16,710980544,1889672216,14803,0,5342,4279988,93,0
2017-03-17,730978027,1957600001,13483,0,9143,4734266,174,0
2017-03-18,674613564,1810113607,13431,0,4761,4538098,67,0
2017-03-19,667560611,1746041011,13489,0,5559,4423196,58,0
2017-03-20,683058842,2029206778,13802,0,4793,4431454,102,0
