date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,1402900218,5192439808,99881,0,2427655,68664360,39317,13259
2017-01-02,1509201592,5437190516,64802,0,2851657,70791864,38152,11676
2017-01-03,1613151950,5587886220,69685,0,2441057,76765358,35277,11124
2017-01-04,1656002102,5726949918,64194,0,1860098,72831771,31566,12523
2017-01-05,1684802879,5822535940,65282,0,1833524,72638058,30140,18290
2017-01-06,2133181932,6518586677,68427,0,2679574,76520739,30621,18585
2017-01-07,1526013222,5600636880,68909,0,1586640,67788507,53249,22544
2017-01-08,1510651719,5671058722,57031,0,1392530,73821338,63356,23845
2017-01-09,3039305187,8484172540,80953,0,3259308,111467243,40895,21421
2017-01-10,3072132400,8605174388,105038,0,8429711,107616769,40935,18769
2017-01-11,1785895256,6065743951,239986,0,2168353,84327412,31365,14797
2017-01-12,1774243577,6022290016,130499,0,1955082,97904857,35335,12225
2017-01-13,1743079709,6071911803,102162,0,2041159,91713675,36479,12382
2017-01-14,1525577980,5818724847,93064,0,1872830,77201424,35753,13302
2017-01-15,1536791374,5715027534,117936,0,1875616,85079782,40858,15397
2017-01-16,1719348423,5998170831,137368,0,2113918,87617622,42789,16873
2017-01-17,1748110263,6076212705,101406,0,2109876,83888592,43110,17703
2017-01-18,1669789979,6089989102,137957,0,2062948,87625450,36332,12718
2017-01-19,1717508837,6134531688,111597,0,2080882,91876748,39804,16956
2017-01-20,1688318131,5964461507,94478,0,2003935,92942498,36864,16366
2017-01-21,1536885448,5648532792,121672,0,1826475,83336720,36288,16752
2017-01-22,1510674750,5021177651,106229,0,1974009,80578463,41456,21601
2017-01-23,1662094427,5877800104,80109,0,1881729,89997298,54566,21450
2017-01-24,1724019826,5947536566,84007,0,1675278,96400881,36306,20066
2017-01-25,1591999847,5936635325,150118,0,1850872,94168367,36822,19249
2017-01-26,1658954892,5945841629,148990,0,1746294,101444552,40405,24208
2017-01-27,1757902088,5766928187,102055,0,1790608,101129126,35800,19625
2017-01-28,1474294976,5459636529,138467,0,1623082,88316517,34309,17837
2017-01-29,1424439641,5573045589,150225,0,1576596,85135007,31766,13829
2017-01-30,1586508623,5891279635,160681,0,1787850,91141476,31274,12104
2017-01-31,1626396507,5885105740,193296,0,3212275,94534117,36091,16013
2017-02-01,1618043546,5902368380,136058,0,4204473,97850435,58335,19369
2017-02-02,1625733929,5879480386,200952,0,1549944,98006280,48127,16737
2017-02-03,1669166849,5712831953,142480,0,1435034,98444753,28470,10838
2017-02-04,1552778088,5904251031,102716,0,1464772,90082449,28513,10284
2017-02-05,1533311807,5871615580,128502,0,1219917,89141131,28191,10497
2017-02-06,1696422840,5885890674,121463,0,1091107,95593744,32845,12300
2017-02-07,1721557731,5892911036,163006,0,1096905,96990311,45992,14820
2017-02-08,1655665581,6014356330,129430,0,1518600,101962830,52103,14435
2017-02-09,1590132372,5969070470,92401,0,1430042,98992054,51684,14604
2017-02-10,1540006707,5978925952,132630,0,1229263,99843503,49548,14896
2017-02-11,1405389621,5587774630,109546,0,966709,92850422,56172,13005
2017-02-12,1412784062,5634193528,128119,0,1187435,92052448,28886,10259
2017-02-13,1537292341,5969858535,177112,0,1258791,99419587,30801,10607
2017-02-14,1521170362,6058113181,207314,0,1125612,99193112,37204,12327
2017-02-15,1524792443,6011533242,162294,0,1086430,87827217,48492,14769
2017-02-16,1530536831,6128075602,189352,0,1226775,92277155,48291,15627
2017-02-17,1492792738,6129547204,215165,0,1342965,118220017,40822,11915
2017-02-18,1344223384,4993785643,175163,0,1179289,83671923,40302,12132
2017-02-19,1335452653,5579843053,120712,0,1289429,83873977,39744,11743
2017-02-20,1591095538,6099541483,190222,0,2346549,91047630,42185,12188
2017-02-21,2659655189,7954788270,189071,0,3323494,103165058,42071,10693
2017-02-22,1644660615,6045410216,162548,0,1502127,89909724,42091,10892
2017-02-23,1683368882,6110849504,74295,0,1512743,89708789,54077,13265
2017-02-24,1620054939,5841049934,78948,0,1608789,92241137,44963,10893
2017-02-25,1495073172,5669842214,101564,0,1741756,82427901,57408,12234
2017-02-26,1484314453,5707260724,139981,0,1468066,80760118,46499,12113
2017-02-27,1624091812,5994448235,170160,0,1697678,89276707,58037,12043
2017-02-28,1682541663,6071619446,130314,0,1909686,93597620,69460,12891
2017-03-01,1644509933,6198118258,125957,0,1480959,91267790,91430,13812
2017-03-02,1715951942,6325375797,117060,0,1822287,98808472,78001,15410
2017-03-03,1671050622,6312948707,151113,0,1857457,92953301,75738,15116
2017-03-04,1510229626,6054082090,175436,0,1479049,85993380,76531,17986
2017-03-05,1478821779,5962127794,143177,0,1431867,82878469,72898,19087
2017-03-06,3967783699,9946975027,209089,0,6587424,131312208,79370,16327
2017-03-07,1680997491,6208723130,107686,0,1962155,92285818,74468,17140
2017-03-08,1769104907,6310029228,219868,0,2387791,88030462,78241,14782
2017-03-09,1815688334,6189133888,154841,0,2031877,91296489,83677,12171
2017-03-10,1817661061,6479373820,106393,0,1945312,90373655,96099,13067
2017-03-11,1162539309,5759739138,126469,0,1784856,79786029,100645,13438
2017-03-12,1206321838,5783463629,134018,0,1744453,76959354,100778,13185
2017-03-13,1345379136,6134457186,198857,0,1868721,82399817,102789,13499
2017-03-14,1335177889,6172890623,164855,0,1873150,86102511,98189,13530
2017-03-15,1290819788,5872189905,215942,0,1913486,89159427,115159,13852
2017-03-16,1318624393,5935534947,268448,0,1976563,92241938,118337,15547
2017-03-17,1402999036,6414193673,419216,0,2121788,91831932,108196,13170
2017-03-18,1109084909,5647753157,44406,0,1519023,83483931,107263,13268
2017-03-19,1137951849,5650934917,210248,0,1482556,81945100,98774,13492
2017-03-20,1269287305,5930045149,221610,0,1557793,88425359,106265,12690
2017-03-21,1263716431,5849778306,240678,0,1430478,90002184,94160,11618
2017-03-22,1308393449,6063108820,362441,0,1290180,96245316,92233,15001
2017-03-23,1297287595,6025025753,245524,0,1132768,94784496,89897,20606
2017-03-24,1345773779,6096982272,7227381,953621,1135589,95122169,88773,19564
2017-03-25,1182081424,5934555552,207911,0,745780,87933354,84777,19549
2017-03-26,1129744319,5716610812,198380,0,658184,84619457,85274,19273
2017-03-27,1555113488,6069037089,186490,0,1174695,93048597,92000,21815
2017-03-28,1453221698,5857142859,108969,0,961473,92983793,91377,20878
2017-03-29,1290707779,5703490262,260092,0,988632,87312975,89110,20196
2017-03-30,1230554183,5776396946,305320,0,864955,86680793,89405,21004
2017-03-31,1153849910,5402062937,320726,0,1393971,85789929,94446,25761
2017-04-01,1087468486,5216840340,115380,0,1076646,82803073,90902,23765
2017-04-02,1044018041,5089376488,258634,0,1046317,80087357,89271,24065
2017-04-03,1221942790,5492532123,168714,0,1566696,89697389,96289,30392
2017-04-04,1316482190,5770055837,162935,0,1796243,93404942,145353,66619
2017-04-05,1313048883,5622330143,149658,0,1887848,99936600,110261,37359
2017-04-06,1265982780,5522129812,205665,0,1732012,103058793,120263,43617
2017-04-07,1218653241,5545384879,112641,0,1469198,89725810,100071,27515
2017-04-08,1069589215,5171846149,99598,0,1193130,81045054,94943,20783
2017-04-09,1040015892,5094958588,74422,0,1262380,79524359,98508,22944
2017-04-10,1195921246,4730822749,121360,0,1418233,89749430,92212,21063
2017-04-11,1242343573,5676263060,72003,0,1549479,90881788,87161,14569
2017-04-12,1291185152,5611047302,253715,0,1606664,96205074,89601,10446
2017-04-13,1255431890,5648680270,223431,0,1408974,92609887,90380,10510
2017-04-14,1173136104,5578763654,107393,0,1484529,84862206,91563,11583
2017-04-15,1074510305,5334044282,183806,0,1370967,77730641,90624,12028
2017-04-16,1052519097,5176557678,172419,0,1266911,78157010,90109,11798
2017-04-17,1147293381,5502081972,95247,0,1366995,85391244,81079,13533
2017-04-18,1220096031,5403878201,393568,0,1564638,92033830,62931,19519
2017-04-19,1371476440,5564477460,286833,0,1790515,97296770,55999,19127
2017-04-20,1288001782,5517712342,134102,0,1654630,92690404,65576,16630
2017-04-21,1247865167,5206109541,80715,0,1576567,86044774,92924,9956
2017-04-22,1025086287,4764252748,72704,0,1474515,78788940,90200,11852
2017-04-23,1020981081,4592753676,75652,0,1277992,76994545,75331,16843
2017-04-24,1177906985,5152668757,97466,0,1441488,86844065,73673,15984
2017-04-25,1663918878,6096506123,93107,0,2052124,96746451,90006,8305
2017-04-26,1212786319,5301657547,128557,0,1345529,92324737,93091,8365
2017-04-27,1167247957,5184500641,97839,0,1189558,91758926,93745,9728
2017-04-28,1134417780,5225800706,93455,0,1194119,91430774,92585,9796
2017-04-29,1070117668,5152706908,78022,0,1135786,80943841,91154,10061
2017-04-30,1030634318,4929546065,76138,0,1073823,78633406,92404,10055
2017-05-01,1034730123,5009089684,105092,0,1113985,81955164,91582,8632
2017-05-02,1127314609,5300298497,158193,0,1092434,88611482,91731,7897
2017-05-03,1233618858,5584828014,101140,0,1031031,87989163,91850,7811
