date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,1305737726,4894223398,46529,0,23370820,135391713,3276,8120122
2017-01-02,1408289195,5126784384,48345,0,18787588,146659148,2454,8160465
2017-01-03,1458549380,5336607244,51579,0,23671325,163119252,2079,8152941
2017-01-04,1472333177,5427439553,49872,0,26125690,153870820,2224,7983619
2017-01-05,1483841328,5471645013,50100,0,27664172,153120058,1653,7710446
2017-01-06,1924559592,6107705555,48637,0,83126860,168931218,1729,8003556
2017-01-07,1309814588,5244616195,176895,0,12818570,144310115,2337,7891220
2017-01-08,1311718886,5114774083,165746,0,17415774,150724737,1744,7876899
2017-01-09,2685689973,7300487565,162478,0,109888202,221455284,3450,7842016
2017-01-10,2838795379,7435296878,147276,0,146266652,227917473,3735,7805926
2017-01-11,1466783365,5497012608,340193,0,16007428,173726291,2370,7811788
2017-01-12,1464597427,5536017431,261426,0,13714917,188224262,2626,7475188
2017-01-13,1420087237,5495140471,197619,0,14474356,166502610,3216,7129400
2017-01-14,1274762141,5090322970,252229,0,13430872,142698123,2045,6942779
2017-01-15,1252038515,5087575073,320089,0,12518588,144827320,3836,6976393
2017-01-16,1376948416,5452933351,387661,0,13685718,161155521,2125,6998743
2017-01-17,1405347643,5469238387,310629,0,12764361,157844923,1799,7270983
2017-01-18,1384074104,5519010924,368369,0,12687904,159539426,1828,7739951
2017-01-19,1450978077,5618134165,352169,0,15001600,156778087,1695,7953577
2017-01-20,1418785243,5395814920,354569,0,14280209,161926515,1735,8220519
2017-01-21,1288679472,5096486994,361388,0,16043134,147125335,1452,8249257
2017-01-22,1307381640,5169643667,295648,0,18021456,151482199,1526,8302366
2017-01-23,1405751482,5420685884,232809,0,18609639,161702826,1820,8294758
2017-01-24,1407909317,5383727770,267430,0,16612584,159280764,1784,7658728
2017-01-25,1500695731,5482900959,167230,0,17596189,155865430,1707,6626472
2017-01-26,1487598345,5428071814,123803,0,15782024,148661882,1901,6684340
2017-01-27,1422755552,5219520888,139612,0,12478264,135781076,2242,6634809
2017-01-28,1276142886,4943303842,243744,0,12034018,122844700,2331,6584292
2017-01-29,1336955492,5139006658,213254,0,14087630,128103152,2288,6533428
2017-01-30,1486911267,5332013492,226027,0,16469913,140331655,2194,6531155
2017-01-31,1556514103,5394960695,259195,0,14400580,145594052,1489,6553493
2017-02-01,1534795251,5366939995,208312,0,14839234,147835756,1639,6889028
2017-02-02,1447024246,5354499795,205009,0,15379686,146368645,1833,7363328
2017-02-03,1456822167,5407553017,245716,0,13186550,146034679,1620,8452762
2017-02-04,1413074473,5529094826,171891,0,13865146,143482456,2830,8136966
2017-02-05,1431404125,5496523448,171388,0,19097154,144787845,1760,8134699
2017-02-06,1517857032,5585051813,197569,0,14486088,153493604,1591,8130860
2017-02-07,1550887890,5671463190,235783,1,10071391,148723595,1867,8252913
2017-02-08,1500697588,5728708372,206529,125,20900697,150674184,1903,8254839
2017-02-09,1445878520,5642818600,182084,0,26331511,145300711,1946,8257497
2017-02-10,1403949589,5588086299,243649,0,26219427,140550985,1981,8299121
2017-02-11,1337819246,5167692083,186112,0,25753691,128615306,1618,8439080
2017-02-12,1330907853,5108737609,217633,0,25285997,127525972,1748,8339963
2017-02-13,1482968606,5522716862,256742,0,32926697,143438364,2033,8618486
2017-02-14,1479113744,5623754403,224809,1,30028676,143266918,2742,8265784
2017-02-15,1496645138,5638998177,264036,0,29056149,144415817,1758,8289203
2017-02-16,1494969820,5745152488,249015,0,30706010,143162643,1772,8292922
2017-02-17,1464549807,5762278983,226461,230,28273760,140953483,1832,7914295
2017-02-18,1385853744,5357868268,277779,128,27179760,131428865,2142,7914277
2017-02-19,1379173451,5260445260,268376,60,27484926,130451972,1724,7909578
2017-02-20,1585572555,5688604523,279824,160,41560386,145672180,1853,8000264
2017-02-21,2629369376,7234020511,213869,0,186276336,184418610,1930,8370995
2017-02-22,1576508053,5834584202,211635,0,28197273,143433074,1838,8254453
2017-02-23,1536872185,5785757026,53325,30,31470719,140684658,2101,8056021
2017-02-24,1460509014,5657880327,148763,0,28208064,145245211,2150,7839667
2017-02-25,1360518121,5221574925,141015,0,27120181,133528681,2165,8008717
2017-02-26,1361616524,5229300094,175121,0,27108896,128779847,1685,7984881
2017-02-27,1474778157,5562186565,261509,0,27940372,132240869,1742,8031260
2017-02-28,1497287993,5596344002,170442,0,31719628,131968794,1821,8213460
2017-03-01,1512851323,5742974129,152937,24,29030307,133829086,1853,7889204
2017-03-02,1522271425,5712577724,111250,22,31975724,141200681,1982,7937663
2017-03-03,1429423337,5365299440,232414,6,28805496,135851556,2358,7816400
2017-03-04,1379628667,5230243940,214527,0,33046251,132538413,1956,7899583
2017-03-05,1402684944,5180450542,203560,0,29057118,127810473,1497,7911407
2017-03-06,3703493940,8482806697,178077,0,338635947,256582434,2860,7919056
2017-03-07,1480420534,5512038172,120020,50,35762275,135836780,1775,7834339
2017-03-08,1438079992,5552585712,195119,32,32679415,135425074,2247,7836780
2017-03-09,1394151240,5465839988,123799,0,29844909,135567827,4045,8271197
2017-03-10,1443117863,5411114349,163101,367,34541771,132729231,3753,8327783
2017-03-11,1298083772,4980223885,182837,57,33959407,115725264,4112,8417072
2017-03-12,1294101529,4937926389,148096,0,33186471,116743467,3554,8541260
2017-03-13,1562629132,5077459457,322643,0,90162269,132558067,3729,8528890
2017-03-14,1622605724,5228193824,203514,0,94407820,133665863,4360,8514397
2017-03-15,1399998100,5100778541,343987,55,36721176,130240555,11123,8437507
2017-03-16,1408159448,5123337276,339731,6,30640218,134172219,3389,8462763
2017-03-17,1542089466,5381587808,337406,79,48200001,149417889,2987,8350946
2017-03-18,1279552898,4853287067,444979,0,28919984,128711368,3808,8336935
2017-03-19,1257879130,4759710520,354810,0,26668012,123238771,3480,8454456
2017-03-20,1435006744,5309317087,262680,43,31949175,136690561,3783,7992608
2017-03-21,1407480533,5142336514,296813,1,38108976,135359752,3006,7451759
2017-03-22,1443276105,5061030326,411024,0,51696412,141978126,2984,7637947
2017-03-23,1398374206,5003702874,266037,0,31713430,135037923,4603,7743233
2017-03-24,1390859327,4798780680,223452,0,30517097,131683166,3894,7389342
2017-03-25,1270486150,4597641751,302148,0,31881229,119598289,4148,7128439
2017-03-26,1224577063,4499142404,218685,0,30076433,116508912,3814,7106051
2017-03-27,1471376510,4756024801,316549,0,36643448,126139239,4151,7172397
2017-03-28,1449070842,4879995516,175643,1,32477497,133432661,3277,7296410
2017-03-29,1403604224,4873206630,298230,0,36697929,128794051,4480,7135408
2017-03-30,1420118890,4950379151,290627,0,42141571,130272297,5731,7656973
2017-03-31,1368806815,4556280208,287337,0,50489389,129961029,4838,7602446
2017-04-01,1299876392,4242336913,212556,0,58598534,116093997,4121,7579657
2017-04-02,1265048454,4180884742,315220,13,52688211,114379821,3001,7593382
2017-04-03,1217203724,4287588338,300440,23,28675292,116943815,3557,7140750
2017-04-04,1390466120,4917197170,588734,12,29573188,139021710,4289,7299336
2017-04-05,1212378553,4455548988,360378,5,26996545,115691235,2881,7722698
2017-04-06,1247205963,4771814233,478414,8,28657709,116673774,2852,7830353
2017-04-07,1288927561,4800615449,277973,3,32528155,115698742,2726,7944873
2017-04-08,1183301547,4569477310,201053,95,29454093,108219514,3375,7901892
2017-04-09,1165260296,4558010456,252407,0,27397286,107743341,3980,7969467
2017-04-10,1305090318,4947357279,227237,0,29216845,119047787,3210,7929516
2017-04-11,1352243530,4938873323,86585,0,33238228,122210272,5738,7769305
2017-04-12,1357701300,5068375838,109511,0,27986676,125392938,3704,7776000
2017-04-13,1345014727,4952968982,127436,0,29344797,124169938,3999,7551992
2017-04-14,1250621020,4502203079,82473,0,33979034,115351001,4512,7813230
2017-04-15,1143670477,3928225298,146292,0,28549868,104006417,3705,7973414
2017-04-16,1115404976,3890800413,158053,0,27058613,101226394,3444,7967947
2017-04-17,1209417658,4195613218,102109,0,29939263,109574178,4103,7562810
2017-04-18,1141944081,4367813968,149642,0,31609227,103302465,8502,8402
2017-04-19,1177096560,4638676605,169761,0,30203220,105645433,5035,1575
2017-04-20,1161142977,4604392655,93472,0,31978240,106594119,4655,2446
2017-04-21,1109925480,4613504950,82631,0,27245575,101739343,5231,430
2017-04-22,1060485795,4308534371,90629,0,25005469,100461411,3499,1147
2017-04-23,1030745391,4247711077,84779,0,22757684,96362065,3665,69583
