date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,1067500510,3865364499,28803,0,1814820,98789319,30656,25531
2017-01-02,1127770313,4043859234,29700,0,2005259,106270078,30485,25628
2017-01-03,1206486204,4208794598,30644,0,2107068,110652636,27104,23296
2017-01-04,1204212558,4220389926,31962,0,2095173,106427543,22078,23630
2017-01-05,1208165380,4231673393,31202,0,2059202,107361095,21819,23304
2017-01-06,1535189362,4754881388,29547,0,3252080,115921799,21950,25813
2017-01-07,1045377020,3961847622,39348,0,1820458,102607772,34632,26840
2017-01-08,1053207913,4003206645,35377,0,1870289,103998680,34392,26455
2017-01-09,2278353106,6427171863,46850,0,4909615,161368006,27954,30056
2017-01-10,2377847028,6372107835,35408,0,10093262,169049987,25710,28844
2017-01-11,1098213764,3885855389,41839,0,2414963,112093192,26043,20105
2017-01-12,935542065,3258192653,27887,0,2170313,90915463,25906,9761
2017-01-13,1018648381,3769637669,37558,0,2655464,103516001,10860,34431
2017-01-14,1024782803,3846936536,30453,0,2688082,111686861,3654,48369
2017-01-15,1000096600,3762047796,29567,0,2717767,105296721,5326,55757
2017-01-16,1077775070,3799999194,35623,0,2840864,110509638,1325,64839
2017-01-17,1170727579,4084833725,35283,0,2855272,126171657,660,69143
2017-01-18,1166320691,4143771293,40709,0,2923741,132131803,780,60198
2017-01-19,1181938575,4284300117,30201,0,2794027,126573070,674,61592
2017-01-20,1192024800,4182422680,27694,0,2826273,128831327,684,62167
2017-01-21,1078412286,3996881705,25758,0,2840614,118454833,745,66477
2017-01-22,1114578910,4048477046,24187,0,3025576,120316006,756,70501
2017-01-23,1158231798,4259594532,25800,0,2804657,125807513,917,71085
2017-01-24,1155833810,4093347249,25977,0,2588829,125143273,1074,67939
2017-01-25,1131039488,4170461844,26596,0,2728092,124554383,888,65915
2017-01-26,1109831045,4073221798,23584,0,2678409,117864256,838,72930
2017-01-27,1041796033,3880036840,25123,0,2655293,113220348,645,62276
2017-01-28,932150218,3618823215,22512,0,2455292,102343342,849,57590
2017-01-29,994517732,3809165909,21947,0,2356634,100938229,861,52939
2017-01-30,1104610664,4084187891,23728,0,2588897,112606666,1011,55507
2017-01-31,1155735850,4104682374,28564,0,2863005,118007965,735,58524
2017-02-01,1164730499,4359882994,25912,0,3533717,116319409,957,58213
2017-02-02,1139893905,4268396203,24982,0,2533084,118901480,822,61725
2017-02-03,1132566282,4218195825,26153,0,2662334,120209789,856,50625
2017-02-04,1120375580,4252823898,26363,0,2679113,112283101,1040,49404
2017-02-05,1099152746,4242593124,24000,0,2088460,109916801,867,50724
2017-02-06,1178595929,4401743113,26619,0,1646641,120627973,1179,59986
2017-02-07,1204584492,4340584917,25580,0,1641151,117829079,1288,79604
2017-02-08,1268034317,4498434896,27515,139,1860187,123154822,1253,78324
2017-02-09,1205344316,4501051705,24844,0,2150081,123489522,1336,76371
2017-02-10,1194051693,4496882579,26586,0,1946246,121247731,1491,74318
2017-02-11,1118542671,4014464814,23881,0,1585184,112239779,1311,55450
2017-02-12,1126535339,3972276259,25230,0,1680555,110535717,1253,47912
2017-02-13,1191532582,4227159689,32279,0,1901561,121123824,1219,56008
2017-02-14,1135946671,4198854397,23770,0,1838335,121686215,1177,63505
