date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,2065908372,5181872597,207945,0,292959,174259845,787,10455
2017-01-02,2183377126,5480592515,86512,0,386704,181230994,663,9061
2017-01-03,2255917413,5456583995,65357,0,375945,194358310,678,6289
2017-01-04,2241551191,5424047093,69946,0,385355,197742670,911,908
2017-01-05,2274243248,5459774180,45007,0,370266,196293814,671,1129
2017-01-06,2758144973,6412531598,52858,0,10267639,228557666,834,2009
2017-01-07,2092928718,5105671968,64998,0,367497,181294223,777,9981
2017-01-08,1937219175,5315461924,55928,0,300812,175253871,722,8664
2017-01-09,3734219617,8572294760,95269,0,6781100,324244260,884,7588
2017-01-10,3827711702,8476676780,57892,0,64517372,334335450,1138,3603
2017-01-11,2189211355,5926979130,347864,0,312658,222071279,818,1420
2017-01-12,2128606671,5957440310,423096,0,479242,221116847,800,2431
2017-01-13,2092120129,5827984829,232484,0,319584,210099625,743,5126
2017-01-14,1956077316,5462797741,324073,0,358967,201183252,837,5672
2017-01-15,1913978745,5394951653,584455,0,372180,197723977,850,9679
2017-01-16,2081092251,5823868478,614474,0,401568,205121741,899,10463
2017-01-17,2109114616,5947239739,205102,0,398538,224582223,950,12625
2017-01-18,2155652767,6096733883,493612,0,388822,228911123,974,8201
2017-01-19,2133729834,6160499949,435795,0,359143,224928963,863,11737
2017-01-20,2221557666,5909498367,444346,0,2044504,216610967,951,7339
2017-01-21,2157424285,5552338682,360149,0,5480958,190656877,764,9412
2017-01-22,2129872849,5544568748,275589,0,4498667,182463008,835,16224
2017-01-23,2234806727,5994850526,128793,0,711908,198627146,775,12468
2017-01-24,2136450883,5976523021,220128,0,335457,208018154,846,8333
2017-01-25,2125654724,5928622141,161620,0,289469,209941300,819,10710
2017-01-26,2076386455,5931317294,110014,0,321242,196665978,818,17369
2017-01-27,2102782492,5724432454,152110,0,311674,189773678,702,8806
2017-01-28,1981740996,5373005843,295914,0,331970,178202081,682,7103
2017-01-29,1910631816,5388900965,239596,0,274857,166030022,698,4075
2017-01-30,2070877942,5658359783,197999,0,321662,174141233,755,1856
2017-01-31,2153080816,5842506018,285977,0,326672,180857473,804,5959
2017-02-01,2160332133,5850372448,220142,0,334695,213249671,901,8876
2017-02-02,2130697058,5831575310,226397,0,340349,205925555,684,7980
2017-02-03,2058788033,5657490135,241686,0,349323,194197399,824,999
2017-02-04,2000846071,5515113515,254465,0,307449,180037039,773,508
2017-02-05,1958541095,5376044754,116401,0,326343,177392971,718,1340
2017-02-06,2150918846,5744645555,182542,0,378621,199326390,763,11895
2017-02-07,2180569959,5871647553,165511,0,377864,199792038,857,27802
2017-02-08,2200773369,5854968603,225449,0,380100,195994739,788,28361
2017-02-09,2177952774,6004582304,130882,0,358083,201738174,942,28036
2017-02-10,2116547315,5944475253,189743,0,352436,185364217,852,25829
2017-02-11,2037807169,5478532977,196371,0,305673,167841059,745,4135
2017-02-12,1999312349,5453613503,260991,0,304817,162976797,726,504
2017-02-13,2137808116,5873885118,191676,0,357384,182159490,869,5863
2017-02-14,2194680563,5966772134,260230,0,359069,187079162,941,9877
2017-02-15,2191671179,5936663290,211072,0,377927,185085851,917,26570
2017-02-16,2222475166,5920627047,151262,0,375756,173370730,830,27037
2017-02-17,2220154344,5866508700,133541,0,373447,169276361,850,26567
2017-02-18,2085344152,5417829861,170358,0,319766,156129886,602,26504
2017-02-19,2036729691,5356335275,175377,0,193062,149096237,536,26565
2017-02-20,2268840050,5969015902,174766,0,892584,172077155,719,26628
2017-02-21,3553845170,8178321513,113175,0,15869565,236603392,1910,26605
2017-02-22,2189437030,5883232053,126921,0,440043,170554149,704,27249
2017-02-23,2214663619,6037504116,49938,0,415908,172482439,854,32607
2017-02-24,2202042243,5783821388,103550,0,466227,170004248,715,29589
2017-02-25,2079636772,5454245254,132661,0,299184,159480578,718,35090
2017-02-26,2058702178,5454978768,205929,0,413116,151260050,614,36157
2017-02-27,2107322699,5785163435,341594,0,362334,143610745,759,35529
2017-02-28,2142770176,5838913162,151402,0,1283917,145231914,832,36548
2017-03-01,2358006193,5864626263,100820,0,435785,147374633,893,34324
2017-03-02,2431902310,6042782811,83300,0,474076,143303480,830,27788
2017-03-03,2280087232,5907840656,158254,0,698112,144181710,1923,24073
2017-03-04,2086173003,5523326369,187992,0,560666,133798292,1048,24428
