date,udp_0_to_512,udp_512_to_1232,udp_1232_to_1472,udp_over_1472,tcp_0_to_512,tcp_512_to_1232,tcp_1232_to_1472,tcp_over_1472
2017-01-01,684217811,2179372334,41316,3046,353909,99268791,2114,0
2017-01-02,723100639,2270658002,28862,3518,657827,105966158,1039,0
2017-01-03,780086465,2411736746,35765,4546,887588,112241247,2098,0
2017-01-04,800530865,2477874187,26695,4919,831584,112702954,7040,0
2017-01-05,796949982,2438482082,23929,5656,757167,110306295,582,0
2017-01-06,941554151,2772326506,20308,7247,9957606,142710958,703,0
2017-01-07,729298186,2292846261,32162,174116,601104,108686790,1045,0
2017-01-08,719298033,2220774329,22989,198587,742077,105351717,846,0
2017-01-09,1285485995,3562962618,52037,127875,17338428,180089241,1907,0
2017-01-10,1259319939,3565107437,34633,77126,57169478,175850102,1127,0
2017-01-11,807964526,2531150297,74106,6878,973480,119548838,2162,0
2017-01-12,802089117,2529303163,67061,7558,953442,113697703,1790,0
2017-01-13,828344517,2502337773,84000,13189,1178995,134724669,5105,0
2017-01-14,732352021,2277754069,53273,13201,682598,136115431,2170,0
2017-01-15,722764317,2247019972,54643,65213,743563,130026781,2598,0
2017-01-16,831431698,2463676844,72604,451394,1359809,142163114,1841,0
2017-01-17,852135565,2529651525,55778,500978,863206,143457657,1088,0
2017-01-18,831380805,2554398818,65414,228448,529192,141846286,1702,0
2017-01-19,831116553,2594191462,60091,292741,493987,133795927,1194,0
2017-01-20,838154718,2480524609,54671,574415,557237,140080021,964,0
2017-01-21,742687039,2244911975,51013,985800,576011,132001094,1032,0
2017-01-22,749045194,2237986159,45580,2377544,532009,139510497,771,0
2017-01-23,823454611,2419500778,39793,1802214,472383,145498529,581,0
2017-01-24,837017534,2404722534,39128,1897152,441810,140803314,757,0
2017-01-25,820977900,2408478055,51200,1535880,441706,141616216,1051,0
2017-01-26,783570394,2409086320,36379,683026,421351,137599836,694,0
2017-01-27,726660070,2343082855,45565,602233,354630,130471556,715,0
2017-01-28,602984653,2076893192,69796,527022,346768,112952356,936,0
2017-01-29,668374483,2134974547,48315,234585,569920,121226669,764,0
