date,t19036,t20326,tiana
2017-05-05,493,3,493
2017-05-06,499,6,499
2017-05-07,569,7,569
2017-05-08,545,5,545
2017-05-09,546,5,546
2017-05-10,547,3,547
2017-05-11,547,2,547
2017-05-12,514,4,514
2017-05-13,539,5,539
2017-05-14,559,6,559
2017-05-15,526,4,526
2017-05-16,548,8,548
2017-05-17,558,5,558
2017-05-18,559,8,559
2017-05-19,521,6,521
2017-05-20,570,9,570
2017-05-21,544,4,544
2017-05-22,555,8,555
2017-05-23,552,5,552
2017-05-24,608,5,608
2017-05-25,586,6,586
2017-05-26,554,6,554
2017-05-27,567,7,567
2017-05-28,605,5,605
2017-05-29,585,7,585
2017-05-30,553,8,553
2017-05-31,584,5,584
2017-06-01,555,9,555
2017-06-02,562,7,562
2017-06-03,618,13,618
2017-06-04,625,13,625
2017-06-05,627,20,627
2017-06-06,615,22,615
2017-06-07,618,13,618
2017-06-08,625,22,625
2017-06-09,596,24,596
2017-06-10,607,14,607
2017-06-11,603,15,603
2017-06-12,638,23,638
2017-06-13,557,23,557
2017-06-14,662,28,662
2017-06-15,638,35,638
2017-06-16,662,24,662
2017-06-17,664,30,664
2017-06-18,639,26,639
2017-06-19,632,21,632
2017-06-20,701,27,701
2017-06-21,655,24,655
2017-06-22,623,26,623
2017-06-23,694,27,694
2017-06-24,682,22,682
2017-06-25,681,29,681
2017-06-26,698,28,698
2017-06-27,683,25,683
2017-06-28,690,24,690
2017-06-29,697,17,697
2017-06-30,633,28,633
2017-07-01,690,21,690
2017-07-02,692,31,692
2017-07-03,721,24,721
2017-07-04,746,23,746
2017-07-05,754,32,754
2017-07-06,733,28,733
2017-07-07,762,16,762
2017-07-08,836,25,836
2017-07-09,821,30,821
2017-07-10,867,23,867
2017-07-11,888,29,888
2017-07-12,911,28,911
2017-07-13,941,32,941
2017-07-14,1044,34,1044
2017-07-15,990,49,990
2017-07-16,955,43,955
2017-07-17,972,38,972
2017-07-18,1028,50,1028
2017-07-19,1072,51,1072
2017-07-20,1008,63,1008
2017-07-21,1087,69,1087
2017-07-22,1068,61,1068
2017-07-23,1043,60,1043
2017-07-24,1110,68,1110
2017-07-25,1070,70,1070
2017-07-26,1088,60,1088
2017-07-27,1092,82,1092
2017-07-28,1126,96,1126
2017-07-29,1136,81,1136
2017-07-30,1090,82,1090
2017-07-31,1109,87,1109
2017-08-01,1143,96,1143
2017-08-02,1114,87,1114
2017-08-03,1074,84,1074
2017-08-04,1174,95,1174
2017-08-05,1165,110,1165
2017-08-06,1087,85,1087
2017-08-07,1141,105,1141
2017-08-08,1185,124,1185
2017-08-09,1235,120,1235
2017-08-10,1162,152,1162
2017-08-11,1172,476,1172
2017-08-12,1203,934,1203
2017-08-13,1138,1033,1138
2017-08-14,1191,1100,1191
2017-08-15,1264,1165,1264
2017-08-16,1195,1104,1195
2017-08-17,1214,1126,1214
2017-08-18,1215,1123,1215
2017-08-19,1193,1105,1193
2017-08-20,1084,991,1084
2017-08-21,1261,1167,1261
2017-08-22,1218,1138,1218
2017-08-23,1240,1152,1240
2017-08-24,1185,1092,1185
2017-08-25,1239,1149,1239
2017-08-26,1231,1151,1233
2017-08-27,1186,1111,1186
2017-08-28,1265,1179,1265
2017-08-29,1316,1221,1316
2017-08-30,1243,1161,1243
2017-08-31,1172,1082,1172
2017-09-01,1285,1191,1285
2017-09-02,1351,1263,1351
2017-09-03,1136,1048,1136
2017-09-04,1262,1173,1262
2017-09-05,1294,1209,1294
2017-09-06,1299,1206,1299
2017-09-07,1334,1237,1334
2017-09-08,1280,1197,1280
2017-09-09,1381,1294,1382
2017-09-10,1227,1150,1227
2017-09-11,1284,1202,1284
2017-09-12,1263,1188,1263
2017-09-13,1292,1213,1292
2017-09-14,1265,1190,1265
2017-09-15,1381,1296,1381
2017-09-16,1394,1293,1394
2017-09-17,1300,1220,1300
2017-09-18,1348,1260,1348
2017-09-19,1319,1229,1319
2017-09-20,1380,1287,1380
2017-09-21,1329,1248,1329
2017-09-22,1420,1345,1420
2017-09-23,1449,1357,1449
2017-09-24,1300,1225,1300
2017-09-25,1441,1357,1442
2017-09-26,1487,1383,1487
2017-09-27,1474,1384,1474
2017-09-28,1430,1334,1430
2017-09-29,1400,1316,1401
2017-09-30,1460,1362,1460
2017-10-01,1475,1375,1475
2017-10-02,1585,1498,1585
2017-10-03,1554,1462,1554
2017-10-04,1564,1470,1565
2017-10-05,1485,1386,1486
2017-10-06,1560,1473,1561
2017-10-07,1643,1557,1643
2017-10-08,1421,1328,1421
2017-10-09,1586,1508,1586
2017-10-10,1663,1545,1664
2017-10-11,1695,1592,1695
2017-10-12,1680,1585,1681
2017-10-13,1751,1649,1751
2017-10-14,1844,1738,1845
2017-10-15,1772,1662,1772
2017-10-16,1986,1886,1986
2017-10-17,2076,1927,2077
2017-10-18,2072,1936,2073
2017-10-19,1998,1865,1999
2017-10-20,2213,2019,2214
2017-10-21,2360,2173,2360
2017-10-22,2209,2022,2209
2017-10-23,2444,2237,2444
2017-10-24,2560,2329,2560
2017-10-25,2680,2447,2681
2017-10-26,2830,2584,2830
2017-10-27,2884,2653,2884
2017-10-28,2960,2715,2961
2017-10-29,3134,2862,3135
2017-10-30,3169,2912,3170
2017-10-31,3310,3054,3311
2017-11-01,3442,3188,3444
2017-11-02,3412,3143,3412
2017-11-03,3399,3151,3401
2017-11-04,3344,3110,3345
2017-11-05,3306,3061,3306
2017-11-06,3605,3336,3606
2017-11-07,3627,3360,3627
2017-11-08,3713,3423,3713
2017-11-09,3624,3390,3626
2017-11-10,3806,3545,3808
2017-11-11,3852,3595,3852
2017-11-12,3785,3534,3788
2017-11-13,4024,3773,4024
2017-11-14,4034,3761,4034
2017-11-15,4137,3862,4137
2017-11-16,4056,3806,4057
2017-11-17,4006,3773,4006
2017-11-18,4118,3860,4118
2017-11-19,4057,3781,4059
2017-11-20,4463,4195,4464
2017-11-21,4235,3975,4236
2017-11-22,4439,4173,4440
2017-11-23,4205,3958,4205
2017-11-24,4455,4194,4456
2017-11-25,4411,4143,4413
2017-11-26,4411,4105,4412
2017-11-27,4563,4285,4563
2017-11-28,4606,4292,4608
2017-11-29,4568,4282,4570
2017-11-30,4555,4287,4556
2017-12-01,4703,4402,4703
2017-12-02,4642,4352,4645
2017-12-03,4501,4209,4502
2017-12-04,4789,4500,4790
2017-12-05,4862,4563,4862
2017-12-06,4900,4579,4900
2017-12-07,4841,4529,4842
2017-12-08,4894,4603,4895
2017-12-09,4801,4513,4801
2017-12-10,4636,4340,4636
2017-12-11,4913,4606,4914
2017-12-12,5617,5284,5618
2017-12-13,7556,7187,7557
2017-12-14,7945,7656,7946
2017-12-15,8496,8162,8496
2017-12-16,8218,7927,8218
2017-12-17,8288,8011,8291
2017-12-18,8847,8527,8849
