date,v4_old_count,v4_old_firstseen,v6_old_count,v6_old_firstseen,v4_new_count,v4_new_firstseen,v6_new_count,v6_new_firstseen
2018-01-25,8601,8601,701,701,31976,31975,3988,3988
2018-01-26,9019,7307,762,702,34007,18918,4464,2720
2018-01-27,8513,6412,799,728,32807,13676,4162,1828
2018-01-28,8368,6173,805,738,32323,11062,4227,1596
2018-01-29,8930,6467,842,762,35903,12005,4744,1620
2018-01-30,9428,6652,957,850,38540,12096,5030,1595
2018-01-31,9521,6670,938,826,38771,11404,5155,1596
2018-02-01,9251,6320,926,822,38816,11312,4923,1398
2018-02-02,9596,6616,857,769,38581,10696,5086,1349
2018-02-03,9579,6584,936,835,37694,9949,5128,1337
2018-02-04,9677,6529,994,896,36519,9024,5050,1231
2018-02-05,9701,6488,1003,875,39029,9928,5295,1242
2018-02-06,9588,6226,941,823,39219,9866,5280,1246
2018-02-07,10123,6728,958,857,39647,10165,5228,1132
2018-02-08,10103,6630,932,811,39681,9808,5090,1154
2018-02-09,10058,6600,906,810,39674,9886,5347,1273
2018-02-10,10455,6858,999,892,38191,9094,5122,1151
2018-02-11,10117,6648,973,860,37601,8640,4977,1116
2018-02-12,10618,6887,995,868,39923,9429,5328,1150
2018-02-13,11419,7529,1134,1011,40259,9825,5119,1074
2018-02-14,12796,8826,1235,1093,40323,9446,5370,1191
2018-02-15,12937,8637,1203,1070,40630,9772,5197,1132
2018-02-16,12513,8204,1165,1026,40571,9617,5401,1161
2018-02-17,11742,7725,1068,958,40028,9441,5391,1177
2018-02-18,11024,6994,1095,959,38767,8442,5171,1099
2018-02-19,10931,6876,1019,886,40752,9213,5575,1259
2018-02-20,10815,6588,953,839,41653,9354,5345,1128
2018-02-21,10496,6398,1044,920,41501,9395,5449,1129
2018-02-22,10520,6544,1095,976,42125,9728,5272,1090
2018-02-23,10488,6510,1152,1036,42134,9528,5457,1131
2018-02-24,10291,6440,1159,1032,41012,9031,5415,1141
2018-02-25,9912,6117,1169,1041,40228,8478,5340,1097
2018-02-26,10214,6296,1143,1005,42490,9400,5507,1091
2018-02-27,10242,6129,1173,1044,42688,9327,5481,1157
2018-02-28,9775,5892,1016,884,41309,8838,5111,1055
2018-03-01,9946,6133,1115,999,41718,9583,4941,1109
